#####################################################################################################################
### Fundamental Properties of Kepler planet-candidate host stars, Huber et al. (2013)
#####################################################################################################################
### Teff   ... Effective temperature in K
### [Fe/H] ... Metallicity in dex
### rho    ... Mean stellar density in g/cm^3
### Rad    ... Radius in solar units
### Mass   ... Mass in solar units
### s_*    ... 1-sigma uncertainties
#####################################################################################################################
### References to published solutions: 
### (a) Barclay et al. (2012)
### (b) Christensen-Dalsgaard et al. (2010)
### (c) Batalha et al. (2011)
### (d) Chaplin et al. (2013)
### (e) Borucki et al. (2012)
### (f) Barclay et al. (2013)
### (g) Gilliland et al. (2013)
### (h) Carter et al. (2012)
### (i) Howell et al. (2012)
### (j) Huber et al. (2013, in prep)
#####################################################################################################################
### Notes: Entries are set to zero if a parameter is not available. rho is derived directly from scaling relations,   
###        radii and masses are modeled values using asteroseismic constraints. No full solution was derived for      
###        KOI-1054 due to the lack of a reliable Dnu measurement. The asteroseismic surface gravity constrained      
###        using numax is logg = 2.47+/-0.01 dex.
#####################################################################################################################
### generated Mar 25 2013
#####################################################################################################################
# KOI|    KIC   | Teff |s_Teff|  Fe/H  | s_Fe/H |    rho   |   s_rho  |  Rad  | s_Rad |  Mass | s_Mass|    Notes
   1 | 11446443 | 5850 |  50  | -0.150 |  0.100 | 1.530000 | 0.030000 | 0.950 | 0.020 | 0.940 | 0.050 | Kepler-1(a) 
   2 | 10666592 | 6350 |  80  |  0.260 |  0.080 | 0.271200 | 0.003200 | 1.991 | 0.018 | 1.520 | 0.036 | Kepler-2(b) 
   5 |  8554498 | 5753 |  75  |  0.050 |  0.101 | 0.296498 | 0.009175 | 1.747 | 0.042 | 1.130 | 0.065 |            -
   7 | 11853905 | 5781 |  76  |  0.090 |  0.101 | 0.426899 | 0.012949 | 1.533 | 0.040 | 1.092 | 0.073 | Kepler-4    
  41 |  6521045 | 5825 |  75  |  0.020 |  0.101 | 0.457386 | 0.012524 | 1.490 | 0.035 | 1.080 | 0.063 |            -
  42 |  8866102 | 6325 |  75  |  0.010 |  0.101 | 0.689205 | 0.008766 | 1.361 | 0.018 | 1.242 | 0.045 |            -
  64 |  7051180 | 5302 |  75  | -0.000 |  0.101 | 0.123799 | 0.003307 | 2.437 | 0.072 | 1.262 | 0.089 |            -
  69 |  3544595 | 5669 |  75  | -0.180 |  0.101 | 1.639686 | 0.010214 | 0.921 | 0.020 | 0.909 | 0.057 |            -
  72 | 11904151 | 5627 |  44  | -0.150 |  0.040 | 1.068000 | 0.008000 | 1.056 | 0.021 | 0.895 | 0.060 | Kepler-10(c)
  75 |  7199397 | 5896 |  75  | -0.170 |  0.101 | 0.115189 | 0.004049 | 2.527 | 0.059 | 1.330 | 0.069 |            -
  85 |  5866724 | 6169 |  50  |  0.090 |  0.080 | 0.621000 | 0.011000 | 1.424 | 0.024 | 1.273 | 0.061 | Kepler-50(d)
  87 | 10593626 | 5642 |  50  | -0.270 |  0.080 | 1.458000 | 0.030000 | 0.979 | 0.020 | 0.970 | 0.060 | Kepler-22(e)
  97 |  5780885 | 6027 |  75  |  0.100 |  0.101 | 0.245213 | 0.015112 | 1.962 | 0.066 | 1.318 | 0.089 |            -
  98 | 10264660 | 6378 |  75  | -0.020 |  0.101 | 0.223779 | 0.013605 | 2.075 | 0.070 | 1.391 | 0.098 | Kepler-14   
 107 | 11250587 | 5862 |  97  |  0.270 |  0.109 | 0.426612 | 0.032212 | 1.586 | 0.061 | 1.201 | 0.091 |            -
 108 |  4914423 | 5845 |  88  |  0.070 |  0.109 | 0.513098 | 0.019708 | 1.436 | 0.039 | 1.094 | 0.068 |            -
 113 |  2306756 | 5543 |  79  |  0.440 |  0.101 | 0.382369 | 0.024270 | 1.580 | 0.064 | 1.103 | 0.097 |            -
 117 | 10875245 | 5851 |  75  |  0.270 |  0.101 | 0.580613 | 0.049092 | 1.411 | 0.047 | 1.142 | 0.068 |            -
 118 |  3531558 | 5747 |  85  |  0.030 |  0.101 | 0.581029 | 0.029570 | 1.357 | 0.040 | 1.023 | 0.070 |            -
 119 |  9471974 | 5854 |  92  |  0.310 |  0.109 | 0.188002 | 0.024126 | 2.192 | 0.121 | 1.377 | 0.089 |            -
 122 |  8349582 | 5699 |  74  |  0.300 |  0.101 | 0.539867 | 0.018589 | 1.415 | 0.039 | 1.084 | 0.076 |            -
 123 |  5094751 | 5952 |  75  | -0.080 |  0.101 | 0.640618 | 0.032259 | 1.323 | 0.037 | 1.039 | 0.065 |            -
 168 | 11512246 | 5828 | 100  | -0.050 |  0.101 | 0.409573 | 0.023151 | 1.548 | 0.048 | 1.078 | 0.077 | Kepler-23   
 244 |  4349452 | 6270 |  79  | -0.040 |  0.101 | 0.745290 | 0.008600 | 1.309 | 0.023 | 1.187 | 0.060 | Kepler-25   
 245 |  8478994 | 5417 |  75  | -0.320 |  0.070 | 2.458000 | 0.046000 | 0.772 | 0.026 | 0.803 | 0.068 | Kepler-37(f)
 246 | 11295426 | 5793 |  74  |  0.120 |  0.074 | 0.790300 | 0.005400 | 1.243 | 0.019 | 1.079 | 0.051 | Kepler-68(g)
 257 |  5514383 | 6184 |  81  |  0.120 |  0.101 | 0.990273 | 0.034478 | 1.188 | 0.022 | 1.180 | 0.053 |            -
